3 Biotech,3 Biotech,,2190-5738,Jul 2011,
Fetal Diagnosis and Therapy,Fetal Diagn Ther,1015-3837,1421-9964,Feb 2008,May 2012
Fibrogenesis & Tissue Repair,Fibrogenesis Tissue Repair,,1755-1536,2008,
Fluids and Barriers of the CNS,Fluids Barriers CNS,,2045-8118,2011,
Fly,Fly (Austin),1933-6934,1933-6942,Jul 2010,
Folia Phoniatrica et Logopaedica,Folia Phoniatr Logop,1021-7762,1421-9972,Apr 2009,May 2012
Folia Primatologica; International Journal of Primatology,Folia Primatol (Basel),0015-5713,1421-9980,Apr 2009,May 2012
Food & Nutrition Research,Food Nutr Res,,1654-661X,2008,
Food Science & Nutrition,Food Sci Nutr,,2048-7177,Jan 2013,
Foodborne Pathogens and Disease,Foodborne Pathog Dis,1535-3141,1556-7125,Jun 2008,
Forschende Komplement&#x000e4;rmedizin = Research in Complementary Medicine,Forsch Komplementmed,1661-4119,1661-4127,Jan 2010,May 2012
Frontiers in Aging Neuroscience,Front Aging Neurosci,,1663-4365,2009,
Frontiers in Behavioral Neuroscience,Front Behav Neurosci,,1662-5153,2007,
Frontiers in Bioengineering and Biotechnology,Front Bioeng Biotechnol,,2296-4185,2013,
Frontiers in Cellular and Infection Microbiology,Front Cell Infect Microbiol,,2235-2988,2011,
Frontiers in Cellular Neuroscience,Front Cell Neurosci,,1662-5102,2007,
Frontiers in Chemistry,Front Chem,,2296-2646,2013,
Frontiers in Computational Neuroscience,Front Comput Neurosci,,1662-5188,2007,
Frontiers in Endocrinology,Front Endocrinol (Lausanne),,1664-2392,2010,
Frontiers in Evolutionary Neuroscience,Front Evol Neurosci,,1663-070X,2009,
Frontiers in Genetics,Front Genet,,1664-8021,2010,
Frontiers in Human Neuroscience,Front Hum Neurosci,,1662-5161,2007,
Frontiers in Immunology,Front Immunol,,1664-3224,2010,
Frontiers in Integrative Neuroscience,Front Integr Neurosci,,1662-5145,2007,
Frontiers in Microbiology,Front Microbiol,,1664-302X,2010,
Frontiers in Molecular Neuroscience,Front Mol Neurosci,,1662-5099,2008,
Frontiers in Neural Circuits,Front Neural Circuits,,1662-5110,2007,
Frontiers in Neuroanatomy,Front Neuroanat,,1662-5129,2007,
Frontiers in Neuroenergetics,Front Neuroenergetics,,1662-6427,2009,
Frontiers in Neuroengineering,Front Neuroeng,,1662-6443,2008,
Frontiers in Neuroinformatics,Front Neuroinform,,1662-5196,2007,
Frontiers in Neurology,Front Neurol,,1664-2295,2010,
Frontiers in Neurorobotics,Front Neurorobot,,1662-5218,2007,
Frontiers in Neuroscience,Front Neurosci,1662-4548,1662-453X,Nov 2007,
Frontiers in Oncology,Front Oncol,,2234-943X,2011,
Frontiers in Pediatrics,Front Pediatr,,2296-2360,2013,
Frontiers in Pharmacology,Front Pharmacol,,1663-9812,2010,
Frontiers in Physiology,Front Physiol,,1664-042X,2010,
Frontiers in Plant Science,Front Plant Sci,,1664-462X,2010,
Frontiers in Psychiatry,Front Psychiatry,,1664-0640,2010,
Frontiers in Psychology,Front Psychol,,1664-1078,2010,
Frontiers in Public Health,Front Public Health,,2296-2565,2013,
Frontiers in Synaptic Neuroscience,Front Synaptic Neurosci,,1663-3563,2009,
Frontiers in Systems Neuroscience,Front Syst Neurosci,,1662-5137,2007,
Frontiers in Zoology,Front Zool,,1742-9994,2004,
Functional Neurology,Funct Neurol,0393-5264,1971-3274,Jan 2011,
Il Giornale di Chirurgia,G Chir,0391-9005,1971-145X,Apr 2013,
G3: Genes|Genomes|Genetics,G3 (Bethesda),,2160-1836,Jun 2011,
Games For Health Journal,Games Health J,2161-783X,2161-7856,Jun 2008,
Gastroenterology & Hepatology,Gastroenterol Hepatol (N Y),1554-7914,,Jan 2007,
Gastroenterology and Hepatology From Bed to Bench,Gastroenterol Hepatol Bed Bench,2008-2258,2008-4234,Dec 2011,
Gastroenterology Report,Gastroenterol Rep (Oxf),,2052-0034,Jul 2013,
Gastroenterology Research and Practice,Gastroenterol Res Pract,1687-6121,1687-630X,2008,
Gastrointestinal Cancer Research : GCR,Gastrointest Cancer Res,1934-7820,1934-7987,Jan 2007,
Gene Regulation and Systems Biology,Gene Regul Syst Bio,,1177-6250,2007,
Genes,Genes (Basel),,2073-4425,Jun 2010,
Genes & Cancer,Genes Cancer,1947-6019,1947-6027,Jan 2010,
Genes & Development,Genes Dev,0890-9369,1549-5477,Aug 1997,
Genes & Nutrition,Genes Nutr,1555-8932,,Mar 2006,
Genetics and Molecular Biology,Genet Mol Biol,1415-4757,1678-4685,Jan 2009,
Genetics Research International,Genet Res Int,2090-3154,2090-3162,2011,
"Genetics, Selection, Evolution : GSE",Genet Sel Evol,0999-193X,1297-9686,1989,
Genetic Testing and Molecular Biomarkers,Genet Test Mol Biomarkers,1945-0265,1945-0257,Jun 2008,
Genetic Vaccines and Therapy,Genet Vaccines Ther,,1479-0556,2003,Dec 2012
Genetics,Genetics,0016-6731,1943-2631,Jan 1916,
Genome Announcements,Genome Announc,,2169-8287,Jan 2013,
Genome Biology,Genome Biol,1465-6906,1465-6914,2000,
Genome Biology and Evolution,Genome Biol Evol,,1759-6653,2009,
Genome Integrity,Genome Integr,,2041-9414,2010,
Genome Medicine,Genome Med,,1756-994X,2009,
Genome Research,Genome Res,1088-9051,1549-5469,Apr 1997,
Genomics & Informatics,Genomics Inform,1598-866X,2234-0742,Mar 2012,
Geochemical Transactions,Geochem Trans,,1467-4866,2001,
GMS German Medical Science,Ger Med Sci,,1612-3174,2003,
Geriatric Orthopaedic Surgery & Rehabilitation,Geriatr Orthop Surg Rehabil,2151-4585,2151-4593,Sep 2010,
Germs,Germs,,2248-2997,Dec 2011,
The Gerontologist,Gerontologist,0016-9013,1758-5341,Feb 2009,
Gerontology,Gerontology,0304-324X,1423-0003,Mar 2009,May 2012
Ghana Medical Journal,Ghana Med J,0016-9560,,Mar 2005,
GigaScience,Gigascience,,2047-217X,2012,
Gland Surgery,Gland Surg,2227-684X,2227-8575,May 2012,
Global Advances in Health and Medicine,Glob Adv Health Med,2164-957X,2164-9561,Mar 2012,
Global Cardiology Science & Practice,Glob Cardiol Sci Pract,,2305-7823,2012,
Global Health Action,Glob Health Action,1654-9716,1654-9880,2008,
Globalization and Health,Global Health,,1744-8603,2005,
Global Spine Journal,Global Spine J,2192-5682,2192-5690,Dec 2011,
Glycobiology,Glycobiology,0959-6658,1460-2423,Aug 2008,
"GMS Current Topics in Otorhinolaryngology, Head and Neck Surgery",GMS Curr Top Otorhinolaryngol Head Neck Surg,,1865-1011,2004,
GMS Health Technology Assessment,GMS Health Technol Assess,,1861-8863,2005,
GMS Hygiene and Infection Control,GMS Hyg Infect Control,,2196-5226,2013,
GMS Zeitschrift f&#x000fc;r Medizinische Ausbildung,GMS Z Med Ausbild,1860-7446,1860-3572,2010,
Gut and Liver,Gut Liver,1976-2283,2005-1212,Jun 2007,
Gut Microbes,Gut Microbes,1949-0976,1949-0984,Jan 2010,
Gut Pathogens,Gut Pathog,,1757-4749,2009,
Gynecologic and Obstetric Investigation,Gynecol Obstet Invest,0378-7346,1423-002X,Oct 2009,May 2012
Gynecologic Oncology Case Reports,Gynecol Oncol Case Rep,,2211-338X,Dec 2011,
Haematologica,Haematologica,0390-6078,1592-8721,Jan 2009,
"Hand (New York, N.Y.)",Hand (N Y),1558-9447,1558-9455,Jun 2006,
Harm Reduction Journal,Harm Reduct J,,1477-7517,2004,
Hawai'i Journal of Medicine & Public Health,Hawaii J Med Public Health,2165-8218,2165-8242,Jan 2012,
Head & Face Medicine,Head Face Med,,1746-160X,2005,
Head & Neck Oncology,Head Neck Oncol,,1758-3284,2009,May 2012
Head and Neck Pathology,Head Neck Pathol,1936-055X,1936-0568,Sep 2007,
Health Economics Review,Health Econ Rev,,2191-1991,2011,
Health Education Research,Health Educ Res,0268-1153,1465-3648,Aug 2008,
Health Policy and Planning,Health Policy Plan,0268-1080,1460-2237,Aug 2008,
Health Promotion International,Health Promot Int,0957-4824,1460-2245,Aug 2008,
Health Promotion Perspectives,Health Promot Perspect,,2228-6497,2011,
Health and Quality of Life Outcomes,Health Qual Life Outcomes,,1477-7525,2003,
Health Research Policy and Systems,Health Res Policy Syst,,1478-4505,2003,
Health Services Insights,Health Serv Insights,,1178-6329,2013,
Health and Social Work,Health Soc Work,0360-7283,1545-6854,Jan 2013,
Healthcare Informatics Research,Healthc Inform Res,2093-3681,2093-369X,Mar 2010,
Healthcare Policy,Healthc Policy,1715-6572,,Sep 2005,
Heart International,Heart Int,1826-1868,2036-2579,2006,
"Heart, Lung and Vessels",Heart Lung Vessel,2282-8419,2283-3420,2013,
Heart Views : The Official Journal of the Gulf Heart Association,Heart Views,1995-705X,0976-5123,Mar 2010,
Hematology Reports,Hematol Rep,2038-8322,2038-8330,Jan 2010,
Hepatic Medicine : Evidence and Research,Hepat Med,,1179-1535,2009,
Hepatitis Monthly,Hepat Mon,1735-143X,1735-3408,Jan 2010,
Hepatitis Research and Treatment,Hepat Res Treat,2090-1364,2090-1372,2010,
Hepatobiliary Surgery and Nutrition,Hepatobiliary Surg Nutr,2304-3881,2304-389X,Dec 2012,
Hepatology International,Hepatol Int,1936-0533,1936-0541,Mar 2007,Sep 2011
Hereditary Cancer in Clinical Practice,Hered Cancer Clin Pract,1731-2302,1897-4287,2003,
Heredity,Heredity (Edinb),0018-067X,1365-2540,Jan 2011,
Herpesviridae,Herpesviridae,,2042-4280,2010,
HFSP Journal,HFSP J,1955-2068,1955-205X,May 2007,Dec 2010
High Altitude Medicine & Biology,High Alt Med Biol,1527-0297,1557-8682,Jun 2008,
Hippokratia,Hippokratia,1108-4189,1790-8019,Jul 2006,
"HIV/AIDS (Auckland, N.Z.)",HIV AIDS (Auckl),,1179-1373,2009,
Hormone Research,Horm Res,0301-0163,1423-0046,Aug 2009,
Hormone Research in P&#x000e6;diatrics,Horm Res Paediatr,1663-2818,1663-2826,Jan 2010,May 2012
Hospital Pharmacy,Hosp Pharm,0018-5787,1945-1253,Jan 2013,
HPB : The Official Journal of the International Hepato Pancreato Biliary Association,HPB (Oxford),1365-182X,1477-2574,2001,
HPB Surgery,HPB Surg,0894-8569,1607-8462,1988,
HSS Journal,HSS J,1556-3316,1556-3324,Sep 2005,
The HUGO Journal,Hugo J,1877-6558,1877-6566,Dec 2009,
Human Development,Hum Dev,0018-716X,1423-0054,Jun 2009,May 2012
Human Gene Therapy,Hum Gene Ther,1043-0342,1557-7422,Jun 2008,
Human Gene Therapy. Clinical Development,Hum Gene Ther Clin Dev,2324-8637,2324-8645,Jun 2008,
Human Gene Therapy Methods,Hum Gene Ther Methods,1946-6536,1946-6544,Jun 2008,
Human Genomics,Hum Genomics,1473-9542,1479-7364,2003,
Human Genomics and Proteomics : HGP,Hum Genomics Proteomics,,1757-4242,2009,
Human Heredity,Hum Hered,0001-5652,1423-0062,May 2007,May 2012
Human Molecular Genetics,Hum Mol Genet,0964-6906,1460-2083,Aug 2008,
"Human Reproduction (Oxford, England)",Hum Reprod,0268-1161,1460-2350,Aug 2008,
Human Reproduction Update,Hum Reprod Update,1355-4786,1460-2369,Aug 2008,
Human Resources for Health,Hum Resour Health,,1478-4491,2003,
Human Vaccines,Hum Vaccin,1554-8600,1554-8619,Jul 2010,
Human Vaccines & Immunotherapeutics,Hum Vaccin Immunother,2164-5515,2164-554X,Jul 2010,
Hybridoma,Hybridoma (Larchmt),1554-0014,1557-8348,Jun 2008,
ILAR Journal,ILAR J,1084-2020,1930-6180,Dec 2012,
IMA Fungus,IMA Fungus,2210-6340,2210-6359,Jun 2010,
Images in Paediatric Cardiology,Images Paediatr Cardiol,,1729-441X,Jan 1999,
Imaging Science in Dentistry,Imaging Sci Dent,2233-7822,2233-7830,Mar 2011,
Immunity & Ageing : I & A,Immun Ageing,,1742-4933,2004,
Immune Network,Immune Netw,1598-2629,2092-6685,Feb 2009,
Immunology,Immunology,0019-2805,1365-2567,Jan 1958,
Immunome Research,Immunome Res,,1745-7580,2005,Nov 2010
Implementation Science : IS,Implement Sci,,1748-5908,2006,
Industrial Biotechnology,Ind Biotechnol (New Rochelle N Y),1550-9087,1931-8421,Jun 2008,
Industrial Psychiatry Journal,Ind Psychiatry J,0972-6748,0976-2795,Jan 2009,
Indian Dermatology Online Journal,Indian Dermatol Online J,2229-5178,2249-5673,Jul 2010,
Indian Heart Journal,Indian Heart J,0019-4832,,Jan 2012,
Indian Journal of Anaesthesia,Indian J Anaesth,0019-5049,0976-2817,Feb 2009,
Indian Journal of Clinical Biochemistry,Indian J Clin Biochem,0970-1915,0974-0422,Jul 1997,
Indian Journal of Community Medicine : Official Publication of Indian Association of Preventive & Social Medicine,Indian J Community Med,0970-0218,1998-3581,Jan 2008,
"Indian Journal of Critical Care Medicine : Peer-reviewed, Official Publication of Indian Society of Critical Care Medicine",Indian J Crit Care Med,0972-5229,1998-359X,Jan 2008,
Indian Journal of Dermatology,Indian J Dermatol,0019-5154,1998-3611,Jan 2008,
Indian Journal of Endocrinology and Metabolism,Indian J Endocrinol Metab,2230-8210,2230-9500,Jan 2010,
Indian Journal of Hematology & Blood Transfusion,Indian J Hematol Blood Transfus,0971-4502,0974-0449,Dec 2007,
Indian Journal of Human Genetics,Indian J Hum Genet,0971-6866,1998-362X,Jan 2007,
Indian Journal of Medical and Paediatric Oncology : Official Journal of Indian Society of Medical & Paediatric Oncology,Indian J Med Paediatr Oncol,0971-5851,0975-2129,Jan 2009,
The Indian Journal of Medical Research,Indian J Med Res,0971-5916,,Nov 2010,
Indian Journal of Microbiology,Indian J Microbiol,0046-8991,0973-7715,Mar 2007,
Indian Journal of Nephrology,Indian J Nephrol,0971-4065,1998-3662,Jan 2008,
"Indian Journal of Nuclear Medicine : IJNM : The Official Journal of the Society of Nuclear Medicine, India",Indian J Nucl Med,0972-3919,0974-0244,Jan 2010,
Indian Journal of Occupational and Environmental Medicine,Indian J Occup Environ Med,0973-2284,1998-3670,Jan 2007,
Indian Journal of Ophthalmology,Indian J Ophthalmol,0301-4738,1998-3689,Sep 2007,
Indian Journal of Orthopaedics,Indian J Orthop,0019-5413,1998-3727,Jan 2007,
Indian Journal of Otolaryngology and Head & Neck Surgery,Indian J Otolaryngol Head Neck Surg,2231-3796,0973-7707,Jan 1997,
Indian Journal of Palliative Care,Indian J Palliat Care,0973-1075,1998-3735,Jan 2009,
Indian Journal of Pharmaceutical Sciences,Indian J Pharm Sci,0250-474X,1998-3743,Jan 2008,
Indian Journal of Pharmacology,Indian J Pharmacol,0253-7613,1998-3751,Jan 2008,
Indian Journal of Plastic Surgery : Official Publication of the Association of Plastic Surgeons of India,Indian J Plast Surg,0970-0358,1998-376X,Jan 2008,
Indian Journal of Psychiatry,Indian J Psychiatry,0019-5545,1998-3794,Jan 1980,
Indian Journal of Psychological Medicine,Indian J Psychol Med,0253-7176,0975-1564,Jan 2009,
The Indian Journal of Radiology & Imaging,Indian J Radiol Imaging,0971-3026,1998-3808,Feb 2008,
Indian Journal of Sexually Transmitted Diseases,Indian J Sex Transm Dis,0253-7184,1998-3816,Jan 2009,
The Indian Journal of Surgery,Indian J Surg,0972-2068,0973-9793,Aug 2007,
Indian Journal of Surgical Oncology,Indian J Surg Oncol,0975-7651,0976-6952,Jan 2010,
Indian Journal of Urology : IJU : Journal of the Urological Society of India,Indian J Urol,0970-1591,1998-3824,Jan 2007,
Indian Journal of Virology,Indian J Virol,0970-2822,0974-0120,Jun 2010,
Indian Pacing and Electrophysiology Journal,Indian Pacing Electrophysiol J,,0972-6292,Oct 2001,
Infectious Agents and Cancer,Infect Agent Cancer,,1750-9378,2006,
Infection & Chemotherapy,Infect Chemother,2093-2340,2092-6448,Mar 2013,
Infectious Diseases,Infect Dis (Auckl),,1178-6337,2013,
Infectious Diseases in Obstetrics and Gynecology,Infect Dis Obstet Gynecol,1064-7449,1098-0997,1993,
Infectious Diseases of Poverty,Infect Dis Poverty,,2049-9957,2012,
Infectious Disease Reports,Infect Dis Rep,2036-7430,2036-7449,Sep 2009,
Infectious Diseases and Therapy,Infect Dis Ther,2193-8229,2193-6382,Dec 2012,
Infection and Drug Resistance,Infect Drug Resist,,1178-6973,2008,
Infection Ecology & Epidemiology,Infect Ecol Epidemiol,,2000-8686,2011,
Infection and Immunity,Infect Immun,0019-9567,1098-5522,Jan 1970,
Influenza Research and Treatment,Influenza Res Treat,2090-1380,2090-1399,2010,
Innovations in Clinical Neuroscience,Innov Clin Neurosci,2158-8333,2158-8341,Jan 2011,
Insights into Imaging,Insights Imaging,,1869-4101,Jan 2010,
International Archives of Allergy and Immunology,Int Arch Allergy Immunol,1018-2438,1423-0097,Sep 2008,May 2012
International Archives of Medicine,Int Arch Med,,1755-7682,2008,
International Breastfeeding Journal,Int Breastfeed J,,1746-4358,2006,
International Cardiovascular Research Journal,Int Cardiovasc Res J,2251-9130,2251-9149,Sep 2012,
International Health,Int Health,1876-3413,1876-3405,Jan 2013,
International Immunology,Int Immunol,0953-8178,1460-2377,Aug 2008,
International Journal of Alzheimer's Disease,Int J Alzheimers Dis,2090-8024,2090-0252,2009,
International Journal of Analytical Chemistry,Int J Anal Chem,1687-8760,1687-8779,2009,
"The International Journal of Angiology : Official Publication of the International College of Angiology, Inc",Int J Angiol,1061-1711,1615-5939,Mar 2007,
International Journal of Applied and Basic Medical Research,Int J Appl Basic Med Res,2229-516X,2248-9606,Jan 2011,
International Journal of Ayurveda Research,Int J Ayurveda Res,0974-7788,0974-925X,Jan 2010,
The International Journal of Behavioral Nutrition and Physical Activity,Int J Behav Nutr Phys Act,,1479-5868,2004,
International Journal of Biochemistry and Molecular Biology,Int J Biochem Mol Biol,,2152-4114,2010,
International Journal of Biological Sciences,Int J Biol Sci,,1449-2288,2005,
International Journal of Biomaterials,Int J Biomater,1687-8787,1687-8795,2009,
International Journal of Biomedical Imaging,Int J Biomed Imaging,1687-4188,1687-4196,2006,
International Journal of Biomedical Science : IJBS,Int J Biomed Sci,1550-9702,1555-2810,Jun 2005,
The International Journal of Biostatistics,Int J Biostat,2194-573X,1557-4679,Jan 2008,Dec 2011
International Journal of Breast Cancer,Int J Breast Cancer,2090-3170,2090-3189,2011,
International Journal of Burns and Trauma,Int J Burns Trauma,,2160-2026,2011,
International Journal of Cell Biology,Int J Cell Biol,1687-8876,1687-8884,2009,
International Journal of Chronic Obstructive Pulmonary Disease,Int J Chron Obstruct Pulmon Dis,1176-9106,1178-2005,Mar 2006,
International Journal of Circumpolar Health,Int J Circumpolar Health,1239-9736,2242-3982,2012,
International Journal of Clinical and Experimental Medicine,Int J Clin Exp Med,,1940-5901,2008,
International Journal of Clinical and Experimental Pathology,Int J Clin Exp Pathol,,1936-2625,2008,
International Journal of Clinical Pediatric Dentistry,Int J Clin Pediatr Dent,0974-7052,0975-1904,Sep 2008,
International Journal of Critical Illness and Injury Science,Int J Crit Illn Inj Sci,2229-5151,2231-5004,Jan 2011,
International Journal of Dentistry,Int J Dent,1687-8728,1687-8736,2009,
International Journal of Diabetes in Developing Countries,Int J Diabetes Dev Ctries,0973-3930,1998-3832,Jan 2008,
International Journal of Emergency Medicine,Int J Emerg Med,,1865-1380,Apr 2008,
International Journal of Endocrinology,Int J Endocrinol,1687-8337,1687-8345,2009,
International Journal of Endocrinology and Metabolism,Int J Endocrinol Metab,1726-913X,1726-9148,Mar 2012,
International Journal of Environmental Research and Public Health,Int J Environ Res Public Health,1661-7827,1660-4601,May 2005,
International Journal of Epidemiology,Int J Epidemiol,0300-5771,1464-3685,Aug 2008,
International Journal for Equity in Health,Int J Equity Health,,1475-9276,2002,
International Journal of Evolutionary Biology,Int J Evol Biol,2090-8032,2090-052X,2009,
International Journal of Experimental Pathology,Int J Exp Pathol,0959-9673,1365-2613,Aug 1990,
International Journal of Family Medicine,Int J Family Med,2090-2042,2090-2050,2010,
International Journal of Fertility & Sterility,Int J Fertil Steril,2008-076X,2008-0778,Jan 2011,
International Journal of General Medicine,Int J Gen Med,,1178-7074,2008,
International Journal of Genomics,Int J Genomics,2314-436X,2314-4378,2013,
International Journal of Health Geographics,Int J Health Geogr,,1476-072X,2002,
International Journal of Health Policy and Management,Int J Health Policy Manag,,2322-5939,Jun 2013,
International Journal of Health Sciences,Int J Health Sci (Qassim),1658-3639,,Jan 2007,
International Journal of Hematology-Oncology and Stem Cell Research,Int J Hematol Oncol Stem Cell Res,2008-3009,2008-2207,2013,
International Journal of Hepatology,Int J Hepatol,2090-3448,2090-3456,2011,
International Journal of High Risk Behaviors & Addiction,Int J High Risk Behav Addict,2251-8711,2251-872X,Jun 2012,
International Journal of Hypertension,Int J Hypertens,2090-0384,2090-0392,2010,
International Journal of Inflammation,Int J Inflam,2090-8040,2042-0099,2010,
International Journal of Integrated Care,Int J Integr Care,,1568-4156,Oct 2000,
International Journal of Medical Sciences,Int J Med Sci,,1449-1907,2004,
International Journal of Mental Health Systems,Int J Ment Health Syst,,1752-4458,2007,
International Journal of Microbiology,Int J Microbiol,1687-918X,1687-9198,2009,
International Journal of Molecular and Cellular Medicine,Int J Mol Cell Med,2251-9637,2251-9645,Jan 2012,
International Journal of Molecular Epidemiology and Genetics,Int J Mol Epidemiol Genet,,1948-1756,2010,
International Journal of Molecular Imaging,Int J Mol Imaging,2090-1712,2090-1720,2011,
International Journal of Molecular Medicine,Int J Mol Med,1107-3756,1791-244X,Aug 2012,
International Journal of Molecular Sciences,Int J Mol Sci,,1422-0067,Jan 2007,
International Journal of MS Care,Int J MS Care,1537-2073,,Mar 2011,
International Journal of Nanomedicine,Int J Nanomedicine,1176-9114,1178-2013,Mar 2006,
International Journal of Nephrology,Int J Nephrol,2090-214X,2090-2158,2010,
International Journal of Nephrology and Renovascular Disease,Int J Nephrol Renovasc Dis,,1178-7058,2008,
International Journal of Nursing Education Scholarship,Int J Nurs Educ Scholarsh,2194-5772,1548-923X,Jan 2008,Dec 2011
International Journal of Occupational and Environmental Health,Int J Occup Environ Health,1077-3525,2049-3967,Mar 2014,
International Journal of Oncology,Int J Oncol,1019-6439,1791-2423,Aug 2012,
International Journal of Ophthalmology,Int J Ophthalmol,2222-3959,2227-4898,2010,
International Journal of Oral Science,Int J Oral Sci,1674-2818,2049-3169,Mar 2009,
International Journal of Organ Transplantation Medicine,Int J Organ Transplant Med,2008-6482,2008-6490,2010,
International Journal of Otolaryngology,Int J Otolaryngol,1687-9201,1687-921X,2009,
International Journal for Parasitology: Drugs and Drug Resistance,Int J Parasitol Drugs Drug Resist,,2211-3207,Dec 2011,
International Journal for Parasitology: Parasites and Wildlife,Int J Parasitol Parasites Wildl,,2213-2244,Dec 2012,
International Journal of Pediatrics,Int J Pediatr,1687-9740,1687-9759,2009,
International Journal of Pediatric Endocrinology,Int J Pediatr Endocrinol,1687-9848,1687-9856,2009,
International Journal of Peptides,Int J Pept,1687-9767,1687-9775,2009,
International Journal of Pharmaceutical Investigation,Int J Pharm Investig,2230-973X,2230-9713,Jan 2011,
"International Journal of Physiology, Pathophysiology and Pharmacology",Int J Physiol Pathophysiol Pharmacol,,1944-8171,2009,
International Journal of Plant Genomics,Int J Plant Genomics,1687-5370,1687-5389,2007,
International Journal of Preventive Medicine,Int J Prev Med,2008-7802,2008-8213,Jan 2010,
International Journal of Proteomics,Int J Proteomics,2090-2166,2090-2174,2010,
International Journal for Quality in Health Care,Int J Qual Health Care,1353-4505,1464-3677,Aug 2008,
International Journal of Qualitative Studies on Health and Well-being,Int J Qual Stud Health Well-being,1748-2623,1748-2631,2009,
International Journal of Rheumatology,Int J Rheumatol,1687-9260,1687-9279,2009,
International Journal of Shoulder Surgery,Int J Shoulder Surg,,0973-6042,Jan 2008,
International Journal of Sports Physical Therapy,Int J Sports Phys Ther,,2159-2896,Mar 2011,
International Journal of Stem Cells,Int J Stem Cells,2005-3606,2005-5447,Nov 2008,
International Journal of Surgery Case Reports,Int J Surg Case Rep,,2210-2612,May 2010,
International Journal of Surgical Oncology,Int J Surg Oncol,2090-1402,2090-1410,2010,
International Journal of Systematic and Evolutionary Microbiology,Int J Syst Evol Microbiol,1466-5026,1466-5034,Apr 2009,
International Journal of Telemedicine and Applications,Int J Telemed Appl,1687-6415,1687-6423,2008,
International Journal of Therapeutic Massage & Bodywork,Int J Ther Massage Bodywork,,1916-257X,2008,
International Journal of Trichology,Int J Trichology,0974-7753,0974-9241,Jan 2009,
International Journal of Tryptophan Research : IJTR,Int J Tryptophan Res,,1178-6469,2008,
International Journal of Vascular Medicine,Int J Vasc Med,2090-2824,2090-2832,2010,
International Journal of Women's Health,Int J Womens Health,,1179-1411,2009,
International Journal of Yoga,Int J Yoga,0973-6131,2231-2714,Jan 2008,
International Medical Case Reports Journal,Int Med Case Rep J,,1179-142X,2008,
International Neurourology Journal,Int Neurourol J,2093-4777,2093-6931,Apr 2010,
International Orthopaedics,Int Orthop,0341-2695,1432-5195,Mar 1997,Jul 2014
International Seminars in Surgical Oncology : ISSO,Int Semin Surg Oncol,,1477-7800,2004,Dec 2010
International Surgery,Int Surg,0020-8868,,Jan 2012,
Integrated Blood Pressure Control,Integr Blood Press Control,,1178-7104,2008,
Integrative and Comparative Biology,Integr Comp Biol,1540-7063,1557-7023,Aug 2008,
Integrative Medicine Insights,Integr Med Insights,,1177-3936,2008,
Interactive Cardiovascular and Thoracic Surgery,Interact Cardiovasc Thorac Surg,1569-9293,1569-9285,Jan 2012,
Interactive Journal of Medical Research,Interact J Med Res,,1929-073X,Jan 2012,
Interdisciplinary Perspectives on Infectious Diseases,Interdiscip Perspect Infect Dis,1687-708X,1687-7098,2008,
Interdisciplinary Toxicology,Interdiscip Toxicol,1337-6853,1337-9569,Jun 2008,
Interface Focus,Interface Focus,2042-8898,2042-8901,Feb 2011,
Interventional Medicine & Applied Science,Interv Med Appl Sci,2061-1617,2061-5094,Dec 2012,
Interventional Neurology,Interv Neurol,1664-9737,1664-5545,May 2012,
Interventional Neuroradiology,Interv Neuroradiol,1591-0199,1591-0199,Mar 2000,
Intervirology,Intervirology,0300-5526,1423-0100,Jun 2009,May 2012
Investigative Ophthalmology & Visual Science,Invest Ophthalmol Vis Sci,0146-0404,1552-5783,Jan 2010,
Investigative Genetics,Investig Genet,,2041-2223,2010,
The Iowa Orthopaedic Journal,Iowa Orthop J,1541-5457,1555-1377,1981,
i-Perception,Iperception,,2041-6695,2010,
Irish Veterinary Journal,Ir Vet J,0368-0762,2046-0481,2004,
Iranian Biomedical Journal,Iran Biomed J,1028-852X,2008-823X,Jan 2010,
Iranian Endodontic Journal,Iran Endod J,1735-7497,2008-2746,Jan 2006,
Iranian Journal of Basic Medical Sciences,Iran J Basic Med Sci,2008-3866,2008-3874,Jul 2011,
Iranian Journal of Child Neurology,Iran J Child Neurol,1735-4668,2008-0700,Jun 2012,
Iranian Journal of Medical Sciences,Iran J Med Sci,0253-0716,1735-3688,Mar 2011,
Iranian Journal of Microbiology,Iran J Microbiol,2008-3289,2008-4447,Mar 2010,
Iranian Journal of Neurology,Iran J Neurol,2008-384X,2252-0058,2011,
Iranian Journal of Nursing and Midwifery Research,Iran J Nurs Midwifery Res,1735-9066,2228-5504,Jan 2010,
Iranian Journal of Otorhinolaryngology,Iran J Otorhinolaryngol,2251-7251,2251-726X,Sep 2011,
Iranian Journal of Parasitology,Iran J Parasitol,1735-7020,2008-238X,Mar 2010,
Iranian Journal of Pediatric Hematology and Oncology,Iran J Ped Hematol Oncol,2008-8892,2228-6993,2012,
Iranian Journal of Pediatrics,Iran J Pediatr,2008-2142,2008-2150,Mar 2010,
Iranian Journal of Pharmaceutical Research : IJPR,Iran J Pharm Res,1735-0328,1726-6890,Jan 2010,
Iranian Journal of Psychiatry,Iran J Psychiatry,1735-4587,2008-2215,Dec 2010,
